Destination,District,Timespan,Review
Crow Island Beach Park,Colombo,5 months ago,Nice place to visit with your family
Crow Island Beach Park,Colombo,4 years ago,The places good to visit. We can enjoy. But the disturbing things is the waste and garbage is allover the sea surface. Must consider about that.Important thing is don't go after rainy days.. So much of mosquitoes and flies...
Crow Island Beach Park,Colombo,5 years ago,Nice place for family get together
Crow Island Beach Park,Colombo,a month ago,It was amazing. I enjoyed
Crow Island Beach Park,Colombo,a year ago,A beach view spot ... Well maintained by the SL army force. You have stalls there to get a snack and able to go horse rides.
Crow Island Beach Park,Colombo,6 years ago,Nice place to hangout with family. Usually over crowded during weekends.
Crow Island Beach Park,Colombo,5 years ago,Good place for couples. It is very hard to find shade around the beach park. Trees have been planted lately but still not have grown. Beach is littered with tons of trash. Its like park is not maintained properly. Beware of teens trying to …
Crow Island Beach Park,Colombo,4 years ago,Beautiful site but the beach is filled with garbage. Security is good since police is patrolling. We went on a poyaday morning so all the food outlets were closed.
Crow Island Beach Park,Colombo,2 years ago,Visit the place with family on 27.03.2021. Constructions and renovations going on. Children park closed. Small shops in side are closed. Seems to be a nice place. But anyway hope to come again after this renovations.
Crow Island Beach Park,Colombo,6 years ago,"A good place to relax and calm your mind. There are kids playground, jogging tracks,food stalls, seats,tables, resting areas...etc. Basically all the infrastructures are good here. In weekends this place is bustling with people."
Crow Island Beach Park,Colombo,3 years ago,"Nice Peaceful beach
Specially good for kids to play …"
Crow Island Beach Park,Colombo,4 years ago,We had the privilege to clean the beach coz it's super polluted. We had fun while doing this amazing job and I think it was all worth it! Lovely place for kids too :)
Crow Island Beach Park,Colombo,9 months ago,"No wheelchair accessible, pet's not allowed, no maintenance, security and army's are all over the beach and no freedom"
Crow Island Beach Park,Colombo,11 months ago,Nice place really enjoyable specially for children
Crow Island Beach Park,Colombo,2 years ago,Best place in Mattakkuliya (Colombo 15) to spend your evening.
Crow Island Beach Park,Colombo,5 years ago,"The Park was nice, good for children but the beach is very dirty, it’s not clean as people are dumped junks into the beach and environment, it’s very sad people doing this, they can’t understand their spoiling the environment if their own children, what I think is we all should protect the environmental as we all need it."
Crow Island Beach Park,Colombo,5 years ago,"It was a nice beach park for kids and family to spend a evening. Still Hundreds of ppl coming every evenig. But poor maintenance and Polythene, empty bottles and even food waste were seen all around. …"
Crow Island Beach Park,Colombo,a month ago,Good place for children
Crow Island Beach Park,Colombo,a year ago,"Beautiful calming sea view.
Nice park to spend evening time.
Good place to enjoy with family."
Crow Island Beach Park,Colombo,2 years ago,This is a good place to spend some quality time with the family. Only issue is that the beach is unclean. …
Crow Island Beach Park,Colombo,4 years ago,Colombo is a good place to vist for tourists
Crow Island Beach Park,Colombo,6 years ago,Children's play area in this location
Crow Island Beach Park,Colombo,6 years ago,"Good place to hangout with family. Kids play area is super. Beach shore is not clear, & cannot bath. Limited parking space. Open 24hrs."
Crow Island Beach Park,Colombo,4 years ago,Best place for kids
Crow Island Beach Park,Colombo,a month ago,Nice place for kids
Crow Island Beach Park,Colombo,a year ago,Nice place. It has walking path and cycle path too. With the dedicated cycle parking.
Crow Island Beach Park,Colombo,6 years ago,Very clean children park
Dehiwala Zoological Gardens,Colombo,a month ago,"The entrance fee is very fair. It is good to see animals around the world. But animals looked poorly treated, with very little life in their eyes. Animals looked like they were trapped inside small cages. But there is a nice aquarium and a …"
Dehiwala Zoological Gardens,Colombo,a month ago,"Really enjoyed the time in the zoo. Entrance fee was 250lkr for a local adult, information they provided outside of the habitats are very informative, the zoo had loads of land animals and birds. They also have a aquarium with small sharks, …"
Dehiwala Zoological Gardens,Colombo,2 months ago,"Wow improved! New animals, looks well maintained. Great experience, food stall prices are affordable. Must say, really needs a spacious parking! That’s only worried. There’s no propper parking at all, just parking around the main road."
Dehiwala Zoological Gardens,Colombo,4 months ago,"I visited the National Zoological Garden in Dehiwala recently, and I must say it's a great place for kids and education. The zoo has a wide variety of animals, and we had a great time viewing them all. The educational aspect of the zoo was …"
Dehiwala Zoological Gardens,Colombo,4 months ago,"Wonderful experience walking around the zoo, we didn't expect it to be big, but it turned out to be huge! You can easily spend up to 5 or 6 hours here! Saw a few animals that I wasn't expecting to see here, but it was a pleasant surprise."
Dehiwala Zoological Gardens,Colombo,a month ago,"Animals are over all healthy. The sign boards can be improved. Currently the map in the front office and the animal's locations are little different.
Very good place for spend time with your kids"
Dehiwala Zoological Gardens,Colombo,4 weeks ago,"It's not what it used to be, they fixed some of the issues they had in the past and improved a lot, I don't feel bad about the animals since most of them were rescued from various situations and the zoo staff took good care of them. It's one of the unique places that you can visit in Sri Lanka,"
Dehiwala Zoological Gardens,Colombo,3 months ago,"Very nice experience! So clean. Good maintenance. They have clean bathrooms and rest benches placed everywhere. There's a little play area for children too. The lush greenery and the secluded areas for aquarium, reptiles, museum are …"
Dehiwala Zoological Gardens,Colombo,a month ago,The National Zoological garden in Sri Lanka is opened at 8.30 to 6.00pm everyday. …
Dehiwala Zoological Gardens,Colombo,4 months ago,"This place is absolutely fabulous, plenty of animals and the best part is they let you feed them ...x
How cute is that. The price is super reasonable …"
Dehiwala Zoological Gardens,Colombo,a week ago,"Dehiwala Zoo, officially known as the National Zoological Gardens of Sri Lanka, is a popular attraction located in the Dehiwala-Mount Lavinia suburb of Colombo, Sri Lanka. …"
Dehiwala Zoological Gardens,Colombo,3 months ago,"The ocean exhibit at the local zoo is a captivating experience. The aquarium is stunning, with a diverse range of marine species. The simulated waves create a tranquil atmosphere. The educational aspect is informative. The only downside is that it can get crowded during peak hours. Overall, it's a must-visit for nature enthusiasts."
Dehiwala Zoological Gardens,Colombo,3 months ago,"Good to see they've done some improvements in the recent years. There are some new big cat enclosures. Maintenance and upkeep seem to be going on strong too, and hopefully will continue in the future."
Dehiwala Zoological Gardens,Colombo,2 weeks ago,Nice experience. Good for visit with kids. You can see many kinds of animals there.
Dehiwala Zoological Gardens,Colombo,4 months ago,There seems to be animal ls are not feeding well. There are various kinds of animals living here and there are some show from elephants and sea lions. You can show some foreign animals species for your kids from here. But the space …
Dehiwala Zoological Gardens,Colombo,2 months ago,Any child would enjoy the visit and it was good to see the a bit more spacious area for the Lions. The explanations given by staff about animals to children is very educative.
Dehiwala Zoological Gardens,Colombo,5 months ago,"Facilities has been improved compared to my previous visit which was several years ago.
Specially Washroom Facilities. …"
Dehiwala Zoological Gardens,Colombo,3 months ago,"I visited the National Zoological Garden in Dehiwala recently, and I must say it's a great place for kids and education. there was a huge rush weekends and public holidays, as better to go week days. if you go in your own    whehicale , threre was a pvt parcking space there"
Dehiwala Zoological Gardens,Colombo,a month ago,This well maintained zoo is one of the oldest of its kind in Asia.Theres a good collection exotic animals relative to the size of the zoo.Usually gets crowded on weekends and on holidays.
Dehiwala Zoological Gardens,Colombo,3 weeks ago,"Nice place to see various animals.
Need more clean and maintenance.
You can know the showtimes from ticket so,you won't miss those."
Dehiwala Zoological Gardens,Colombo,4 months ago,It is a short distance from the capital of Sri Lanka. Parking facilities are not good.  But inside the zoo is interesting. …
Dehiwala Zoological Gardens,Colombo,a week ago,"Dehiwala zoo is always at its finest..
There is no need to getting doubts about it..
Just visit and enjoy"
Dehiwala Zoological Gardens,Colombo,3 months ago,My wife and I often visit the national zoo very often with our little girl who is in that age in which kids are mesmerized by animals. Although we are not huge fans of the zoo concept we enjoy our visits. …
Dehiwala Zoological Gardens,Colombo,4 months ago,"Dehiwala Zoo Garden is a mixed bag of experiences. On the positive side, it offers a diverse collection of animals from various parts of the world, providing an opportunity for kids to witness foreign species up close. The shows featuring …"
Dehiwala Zoological Gardens,Colombo,a month ago,Best atmosphere quite clean well organized almost all type of animals and birds very useful zoo must visit with families
Dehiwala Zoological Gardens,Colombo,a month ago,It was a great place for a chill. But now it is kinda dried. But still you can visit to see those lovely animals.
Dehiwala Zoological Gardens,Colombo,4 months ago,"I have been to this zoo a couple of times, I loved it everytime I did. Lots of animals who are well looked after, cotton candy! And amazing sights. …"
Dehiwala Zoological Gardens,Colombo,3 weeks ago,"Ticket prize for adult - RS. 250 - saturday & sunday only
2.00 p.m - snakes are our friends
3.00 p.m - meet our birds - friday,saturday & sunday only …"
Dehiwala Zoological Gardens,Colombo,2 months ago,"So worried about innocent animals...it should not caged any lives like that..I go with my babies... feeling very sad..when I was younger,I have seen the same animal maybe...in their life time goes here and there....and again here and …"
Dehiwala Zoological Gardens,Colombo,4 months ago,"I visited this place after 8 years. Compared to that, now this place is developed. But now the number of animal species is very less. Some cages are empty. Some animal species have only one animal per pod. There is no shortage of fish …"
Dehiwala Zoological Gardens,Colombo,3 weeks ago,"Sri Lankan national zoological garden located in Dehiwala Sri Lanka. An amazing place to spend time with your loved ones, little ones can get new experience in here 🥰♥️ …"
Dehiwala Zoological Gardens,Colombo,6 months ago,I visited this place with my 4 year old and it happened to be his first visit to a zoo. There are lot of animals and birds which one will enjoy to see. It also has small shops for refreshments. We went in the end of March and it was really …
Dehiwala Zoological Gardens,Colombo,5 months ago,"Best place to relax and have a good time with your friends. The animals are well taken care of by the staff
There is a elephant entertainment show in the evening. Please do support the staff to keep the place clean and tidy."
Dehiwala Zoological Gardens,Colombo,5 months ago,"Dehiwala Zoo, officially known as the National Zoological Gardens of Sri Lanka, is a popular attraction located in the Dehiwala-Mount Lavinia suburb of Colombo, Sri Lanka. Here …"
Dehiwala Zoological Gardens,Colombo,5 months ago,"The National Zoological Garden - Dehiwala is one of the oldest zoological gardens in Asia. It is home to a wide variety of animals from all over the world, including mammals, birds, reptiles, fish, and amphibians. The zoo is well-maintained …"
Dehiwala Zoological Gardens,Colombo,a month ago,Had a great experience at the zoo. Better to go early much as you can.Follow the numbers from the begining.won't miss any of the experience you can have within the limited time. There are different shows at different sections of the zoo. So …
Dehiwala Zoological Gardens,Colombo,5 months ago,"National zoo went after 12 years. Nice place to see animals for kids.various  fish and reptiles. More space for animals now, especially tigers ."
Dehiwala Zoological Gardens,Colombo,2 months ago,We had a good day. Crowded as it's a weekend. The maintenance of zoo is not up to the standard. Seems like many animals are not getting enough care.
Dehiwala Zoological Gardens,Colombo,5 months ago,"It was amazing. All the animals are well kept and well fed and have proper routines. Although i didnt get to see the elephant tricks because i went in the morning (the show is around 5 pm), they were still adorable. The zoo is huge and …"
Dehiwala Zoological Gardens,Colombo,3 months ago,Great place for kids.  Can view animals from a good view point . We went on Sunday. Seal lion show was at 4pm near the entrance and elephant show at 4.30pm near arena 02 . …
Dehiwala Zoological Gardens,Colombo,a day ago,"Lots of improvements since we visited this place a decade ago. However, the numbers of species seemed to be less. There were more facilities available for visitors throughout the zoo. Maintenance needs to improve. …"
Dehiwala Zoological Gardens,Colombo,3 months ago,A small zoo with very few wild animals and birds. Map of the zoo is not given alongwith the ticket and authorities expect people to follow the numbered sign boards to see all the animals/birds etc and even if someone doesn't want to see …
Dehiwala Zoological Gardens,Colombo,5 months ago,"Nice experience with kids. You can watch lots of fishes, birds as well other animals. Specialy lions and tigers."
Dehiwala Zoological Gardens,Colombo,6 months ago,"""The Dehiwala National Zoo, which has a remarkable collection of exotic and indigenous fauna, is one of the oldest Zoos in Asia. The Zoo in Sri Lanka is widely known as Colombo Zoo all over the world. …"
Dehiwala Zoological Gardens,Colombo,3 months ago,It was quite exciting to visit so many varieties of animals in one place. The kids play area is also nice.
Dehiwala Zoological Gardens,Colombo,4 months ago,The people in Colombo are amazing 👍🏻👍🏻. I quit the atm near the zoo leaving my bank card in the machine. I had entered the zoo and after 15 min a police officer came by asking if it was my card. I would be in serious trouble if I lost it. …
Dehiwala Zoological Gardens,Colombo,a month ago,"There is a positive change in the atmosphere. The cages are more spacious now. The maintenance is better.
The number of animals have drastically dropped."
Dehiwala Zoological Gardens,Colombo,7 months ago,"I saw my favorite animal, the Tiger, right into his eyes while he saw into mine standing few centimeters away. It was like a dream for me. Animals and birds which I had seen pictures of in my school, I could see them with my eyes just few meters away. Be it an ostrich, a Lion, a baboon, or a flamingo.
Loved it"
Dehiwala Zoological Gardens,Colombo,8 months ago,"Good Environment. Clean place. Well maintained. We can see full zoo with in Two and half hours. 60 points are there. There have lots of washrooms, Drinking water taps, canteens, small shops and  lots of places there to sit and eat. 2pm to 3 …"
Dehiwala Zoological Gardens,Colombo,6 months ago,"It'll be a good experience for children to witness the wild animals live, which they would have seen only in books n pictures. There are also places to sit n rest, restaurants to buy juices, varieties of food and ice cream corners."
Dehiwala Zoological Gardens,Colombo,3 months ago,It is a very good place for small children.. Fewer animals than before. But there is a llama park for children to visit and play.. You have to pay a limited amount. For foreigners it is between 10 and 15 dollars.
Dehiwala Zoological Gardens,Colombo,8 months ago,"If you're looking for a fun and educational day out with your child, the National Zoological Garden is an excellent destination. This place is located in Dehiwala on the 176 Bus Route. parking is available, you can enjoy the zoo's vast …"
Dehiwala Zoological Gardens,Colombo,3 months ago,"Really great location and perfect maintenance 😍❤
A variety of animal species can be observed. 🌻 …"
Dehiwala Zoological Gardens,Colombo,11 months ago,Facilities has been improved compared to my previous visit which was several years ago. However now there are less number of animals there in the zoo compared to several years back. Most of animals now has more space in their cages. Also kids play area also improved significantly.
Dehiwala Zoological Gardens,Colombo,a month ago,"This is a safe and good place to visit, especially for children. I used to love going there when I was younger. However, now I don't like it as much because I feel bad about the caged animals. I saw a white monkey in particular that looked …"
Dehiwala Zoological Gardens,Colombo,4 months ago,It was my first time to visit this animal party road.  Rare animals can be seen here.  Very nice place.
Dehiwala Zoological Gardens,Colombo,6 months ago,Early visits aren't recommended cause most animals are inside the cells not released to the public until a few hours of time since the opened zoo museum needs serious improvements and more standards to be developed and the kids play area is …
Dehiwala Zoological Gardens,Colombo,11 months ago,"We are Enjoyed a lot in the zoo. Not only entertaining, but also educating. Staff is very friendly and they guided in the tour. …"
Dehiwala Zoological Gardens,Colombo,8 months ago,"A great place to visit with the whole family. Be ready to walk, wear comfortable shoes/slippers.
Canteens, Seating areas, Washrooms, Drinking water taps widely available along …"
Dehiwala Zoological Gardens,Colombo,4 months ago,Nice place to visit with family. Nice view of animals. Must watch
Dehiwala Zoological Gardens,Colombo,6 months ago,Great place.   You can see many beautiful animal best place for children’s they can enjoy all day
Dehiwala Zoological Gardens,Colombo,11 months ago,"Tickets 200 for adults,  if ur fast u can cover the whole zoo in about 1 hour. Has about 4 stalls to have average snacks and beverages. If u worry about living condition of animals, then don't go. u will be depressed. …"
Dehiwala Zoological Gardens,Colombo,a year ago,"They are restructuring the cages, environment and giving more space to animals. It's not enough but for the time being, it's satisfying. Enjoyed a lot in the zoo. Not only entertaining, but also educating. Staff is very friendly and they guided in the tour. Highly recommend for a family to visit in their weekends."
Dehiwala Zoological Gardens,Colombo,7 months ago,Great zoo. Awesome animals. Also there are a lot of birds and fishes. There were some shows at 4 pm.
Dehiwala Zoological Gardens,Colombo,3 months ago,With proper guidance from the staff a lot to learn about behavioral pattern of animals and on ex situ conservation
Dehiwala Zoological Gardens,Colombo,6 months ago,"""I recently visited Dehiwala Zoo and had a wonderful time exploring the various animal exhibits. The zoo is well laid out and easy to navigate, with plenty of informative signage and helpful staff available to answer any questions. The …"
Dehiwala Zoological Gardens,Colombo,a month ago,"The way this Zoo treats it's animals is just amazing.

Having been there as a child and seeing the dilapidated condition it was in, …"
Dehiwala Zoological Gardens,Colombo,a year ago,"Went to Zoo after several years.

Now it is well organized... Just follow the number order and you won't miss …"
Dehiwala Zoological Gardens,Colombo,3 weeks ago,"If you go there with kids, get very goog memory for your life"
Dehiwala Zoological Gardens,Colombo,4 months ago,"AdultLKR 250.00
ChildrenLKR 100.00
ChildrenLKR 50.00 School/Nursery Group"
Dehiwala Zoological Gardens,Colombo,2 months ago,"The ocean exhibit at the local zoo is a captivating experience. The aquarium is stunning, with a diverse range of marine species. The simulated waves create a tranquil atmosphere. The educational aspect is informative. The only downside is …"
Dehiwala Zoological Gardens,Colombo,6 months ago,Most of the animals  and  Birds are here but want to develop most like The Aquarium   and seashell playing  area and the swimming pool otherwise ok . They advertise in the entrance  about Fish spa but not there..
Dehiwala Zoological Gardens,Colombo,8 months ago,"A unique experience, a place full of wild animals, designed to simulate the nature of the forest (an exceptional experience).
Entrance ticket for tourists is 3,000 rupees, and a ticket to feed an elephant or giraffe is 250 rupees each"
Dehiwala Zoological Gardens,Colombo,a year ago,"This is after 2 decades only I visited this place having memories of my childhood visit when I was 12 years.
There is a remarkable development compared to the past but I must say that this …"
Dehiwala Zoological Gardens,Colombo,a week ago,"Very good zoo. Heaps of different animals amazing collection. Destroys the auckland zoo to bits which is a bore feast in comparison. Lots to see here. Lions, tigers, black panther, jaguar, leopard, giraffe and so much more also a wide range of snakes. Don't forget the elephants. Seeing little simba the cub was a highlight."
Dehiwala Zoological Gardens,Colombo,9 months ago,Haven't been to the zoo in over 15 years because I haven't been comfortable with the idea of the animals being caged. Wanted to see what it's like. Spent a good two hours around the zoo and saw many animals and birds. Apart from the ethical …
Dehiwala Zoological Gardens,Colombo,10 months ago,"Zoological garden with lots of different kinds of animals and birds indigenous and foreign origin.
But not many animals rather few in numbers in each category. …"
Dehiwala Zoological Gardens,Colombo,a year ago,Cool staff. Less crowded. Can use more animals as some of the cages are empty. But no big deal. There are multiple restaurants available in the zoo which was amazing. And the gift shop is cool as well (items are less expensive)
Dehiwala Zoological Gardens,Colombo,6 months ago,Beautiful place is filled by amazing variety of wild animals with the natural shelter environment. Visit there with family and support to living animals there 👍✨ …
Dehiwala Zoological Gardens,Colombo,2 months ago,"Overall a very good place to visit. Entry fees are reasonable.  Toilet facilities are provided free of charge.  The road facilities to visit the animals are good, but the whole journey has to be done on foot. There is a play area for …"
Dehiwala Zoological Gardens,Colombo,5 months ago,"Beautiful but there are less animals in there.
I see some new upcoming projects like the rainforest.Hope more entertaining in my next visit.these crown cranes are in the rainforest."
Dehiwala Zoological Gardens,Colombo,8 months ago,"We visited there on 5th March 2023.
Seems like some animals haven’t get food properly.
Some of the Chimpanzees was  too weak."
Dehiwala Zoological Gardens,Colombo,5 months ago,"❤❤❤❤
The National Zoological Garden in Dehiwala is an exceptional destination for nature and animal lovers. Spread over a vast area, this zoo offers a diverse range …"
Dehiwala Zoological Gardens,Colombo,a year ago,Great experience for children. They have done some updates in several areas and given more space to the animals. Nice place to go and visit with your family.
Dehiwala Zoological Gardens,Colombo,a year ago,It was much better in the past. Now not many animals and also most of them are very old. When we visit  there  were lot of locals but very few tourists.
Dehiwala Zoological Gardens,Colombo,3 months ago,Very good experience.... Elephant show is the best of best one...
Dehiwala Zoological Gardens,Colombo,a year ago,"Dehiwala Zoo.you can see Animals, Birds & Fish.There are small children park with few activity (charge rs.200 - 400 for activity). There are no vihicale park.most of people use by roads for parking but it is very risky.Entrance tiket for elders Rs.200 children Rs.50. There are food stalls in the zoo."
Dehiwala Zoological Gardens,Colombo,a year ago,Good place to spend leisure time. Tickets prices are Rs 200 for adults. Not too much animals like in the past. Should improve quality of service.
Dehiwala Zoological Gardens,Colombo,2 months ago,Animal cages should be more cleaned. Some animals had muddy water to drink. Fish tanks should be more cleaned. People need to learn to throw garbage at respective places without throwing them in the cages of animals. Also there are lots of …
Dehiwala Zoological Gardens,Colombo,2 months ago,Enjoyed a lot with my kids. Very safe and clean
Dehiwala Zoological Gardens,Colombo,a year ago,Really good place to have a quality time with family. As I remember there are lot of animals here but now most of them are not there. I'm not very satisfied with the living condition of the animals. Place is nice and well maintained but as …
Dehiwala Zoological Gardens,Colombo,a year ago,"The 4 Star is for this zoo is still same as like it was 30 years ago and day by day animals getting reducing, not a single activity happened on a Sunday visited very recently, it's the same old Zoo, …"
Dehiwala Zoological Gardens,Colombo,a year ago,The arrangements are fine. You need to move a circle to visit all the animals. The greenery inside the zoo makes the walking easy.
Dehiwala Zoological Gardens,Colombo,3 months ago,"Dehiwala Zoo was a delightful experience! The zoo's well-maintained ambiance and beautiful landscapes made the visit enjoyable from the start. I was amazed by the diverse range of animals they housed. From exotic species to local wildlife, …"
Dehiwala Zoological Gardens,Colombo,a day ago,Best zoological Garden in sri lanka.
Dehiwala Zoological Gardens,Colombo,a month ago,National Zoo of Sri Lanka. Good place to visit with your loved ones. Local visitors ticket price Adults Rs  250 and kids (Age 3 to 12) Rs. 100. There were nearly 60 cage numbers to visit but actual number was differ due some cages were …
Dehiwala Zoological Gardens,Colombo,8 months ago,"The Dehiwala National Zoo, which has a remarkable collection of exotic and indigenous fauna, is one of the oldest Zoos in Asia. The Zoo in Sri Lanka is widely known as Colombo Zoo all over the world. …"
Dehiwala Zoological Gardens,Colombo,5 years ago,"The zoo has so many incredible collection of animals from all over the world.
Efforts made to increase the home space of animals during the time to time renovations are highly appreciated. …"
Dehiwala Zoological Gardens,Colombo,4 months ago,"Well maintained.
Dehiwala Zoological Gardens, also known as the Dehiwala Zoo, is a popular zoological garden located in Dehiwala, Sri Lanka. It is officially called the National …"
Dehiwala Zoological Gardens,Colombo,9 months ago,Good for spend vacation. Perfect for travel with children. There are more animals that couldnt get on eye sight in normal environment.
Dehiwala Zoological Gardens,Colombo,a year ago,We can see may types of animals in Dehiwala zoo.  Environmental also clean and nice. You can enjoy the day with family. Nowadays no entertainment events in the zoo.  Specially this place good for children to get idea about different animals. Many of people feeding animals. I don't think that is good for their health.
Dehiwala Zoological Gardens,Colombo,5 years ago,"Good zoo. Could be maintained a bit better. Otherwise the view is good. You get a good long walk as well. The visit inside the bird cage, the up close view of the turtles, tigers and lions, the bear etc... are some of visual treats you get …"
Dehiwala Zoological Gardens,Colombo,a year ago,"Well, this place is not like it used to be. There aren't that many animals and several cages are empty. This must be due to COVID or something. We visited on 18th of December 2021, so this might not be the case when you visit. However, the …"
Dehiwala Zoological Gardens,Colombo,8 months ago,"The Dehiwala Zoo is one of the oldest zoological gardens in Asia, and is home to an admirable collection of birds, mammals, fish and birds."
Dehiwala Zoological Gardens,Colombo,a year ago,"Very nice place i seen ever there are all types of animal category and big place so if we want to observe and enjoy the whole zoo we need a day,  we don't worry about  refreshment and food  because  there are some many canteens hotel and washrooms also available"
Dehiwala Zoological Gardens,Colombo,3 months ago,That's great and best experience peoples learning knowledge of animals.
Dehiwala Zoological Gardens,Colombo,a year ago,It was a good experience for kids and relaxed outing for us. National Zoo has sevaral kinds of indegenous and foreign species. They have Elephant show everyday around 4 pm.Also they have little play area for kids as well. Management introduced a  numbering machanism where helps spectators to roam around the area.
Dehiwala Zoological Gardens,Colombo,a year ago,Best place to relax and have a good time with your family. The animals are well taken care of by the staff. There is a large scale restaurant in place where you can have your meals. Also small outlets are there to serve the visitors as they …
Dehiwala Zoological Gardens,Colombo,6 months ago,"Almost all the cages, dens & etc are empty, Only few animals are there and they are mostly sick, old & weak ones, Lot of units are under renovation,even the butterfly garden was also closed."
Dehiwala Zoological Gardens,Colombo,6 months ago,Some areas going through renovations. Maintainance definitly need to improve. Litter is wvery where. Although reception says whee chairs are available @ the ticketing counter we came to know all the wheel chairs are broken. Zoo staff seems …
Dehiwala Zoological Gardens,Colombo,a year ago,"Rs.200/= for an Adult. Best Place for Visit with your Family, Best Friends, Couples 👍. Also There's a Private Vehicle Park front of Zoo. They Only Charge Rs.200/= for Parking, RECOMMENDED. …"
Dehiwala Zoological Gardens,Colombo,a year ago,"A very nice zoo. Big area, lots of different animals, birds, fishes. Some of them are very funny - for eg. one ostrich is opening his mouth without a break showing it wants to eat, elephants are dancing, the panther comes to the window and …"
Dehiwala Zoological Gardens,Colombo,10 months ago,"We can see various type of fish,snakes,bird and,hippo,jiraf,monkey,tiger, zebra,lions,kivi,rare animals,elephants and many more animals live in here..enjoy with kids.."
Dehiwala Zoological Gardens,Colombo,a year ago,Some attractions were not available due to maintenance. Other than that the experience was good. Some of the water ponds seemed dirty. The ostrich cage needs another layer of fence to increase the distance between the visitors and ostriches.
Dehiwala Zoological Gardens,Colombo,a year ago,"Parrots were delightful, it was their feeding time. The ostrich is rather engaging, almost always comes over to say hi to visitors. Lots of flowers, the lotus will bloom soon."
Dehiwala Zoological Gardens,Colombo,3 weeks ago,One of the best places to be relaxed
Dehiwala Zoological Gardens,Colombo,8 months ago,Need more improvements and the animals are getting old. Management of Zoo must be changed as they are not managing it properly.
Dehiwala Zoological Gardens,Colombo,7 months ago,The place was beautiful and we had an amazing time. We went on a weekday so it was only us there.
Dehiwala Zoological Gardens,Colombo,4 years ago,Dehiwala zoological garden one of the very good attractions in Colombo for the locals. Of course many foreigners do visit this place. …
Dehiwala Zoological Gardens,Colombo,a year ago,Love this place. This is a best place to spend your free time with children. Soo yeah  go and visit now !! They even have a museum if u wanna know about animal's history and stuff visit there too and also dont forget to watch sea lion show …
Dehiwala Zoological Gardens,Colombo,3 years ago,The aquarium is done very nicely. Inside the aquarium very calm and quiet. The Zoo is very crowded during the holidays. If you visit the zoo in the day time on a weekday you can enjoy than a holiday. Too limited space for some animals. The zoo is open from 8. am to 10 pm during weekends (Usually 8.am to 6 pm)
Dehiwala Zoological Gardens,Colombo,a year ago,"I have been to zoos in India but Dehiwala Zoological Garden was quite hilarious for me to visit along with my estranged husband. It had beautiful animals, and the one you see in the picture the giant bear turned out to be my classmate from …"
Dehiwala Zoological Gardens,Colombo,2 years ago,"Really really best place. I love this. Everyone can visit here. All kind of animals are waiting for you 😁😛. Some animals dance and sports are stopped because of the corona issues but still you can join with this zoo to look at this place.
I warmly invite everyone to visit here. …"
Dehiwala Zoological Gardens,Colombo,a year ago,"National Zoological Gardens of Sri Lanka (also called Dehiwala Zoo or Colombo Zoo) is a zoological garden in Dehiwala, Sri Lanka, founded in 1936. It is home to various birds, mammals, reptiles, fish and amphibians. The zoo not only …"
Dehiwala Zoological Gardens,Colombo,a year ago,"Good place to visit with kids. For locals adults its 200/=. Avoid evening time visits such as after 4:30 pm, coz most of the animals are get in to their cages. They have animal shows for time table check the back of your ticket. Some days they have some special shows, now days(June 2022) they have special tiger cubs show."
Dehiwala Zoological Gardens,Colombo,2 years ago,It's not same like past days. Animals are less in numbers and some you get to see only one. Most of them are elderly animals. They have shifted animals to other zoos. …
Dehiwala Zoological Gardens,Colombo,5 months ago,Good place to spend your time with family..
Dehiwala Zoological Gardens,Colombo,a month ago,"There have been some changes, but as an everyday visitor, I don't notice much improvement. There are not many animals, and the service is poor. The reptile section is closed for renovation, and there doesn't seem to be proper park …"
Dehiwala Zoological Gardens,Colombo,9 months ago,The only closed zoo for seeing animals and birds. Opens all days throughout the year. Seal show time and other shows available in afternoon. No need to book.
Dehiwala Zoological Gardens,Colombo,3 years ago,Really good zoo experience and especially enjoyable for kids. Quite liked how all the animals are easily visible without much obstruction but yet adhering to the safety as well. The animals looked healthy and well taken care of. The entry …
Dehiwala Zoological Gardens,Colombo,2 years ago,Not very crowded these days. The best way is to go early in the morning so you can complete the whole experience and due to ample parking available in the area.The place is kept very clean and sanitized. The exhibits have been repaired and …
Dehiwala Zoological Gardens,Colombo,7 months ago,"Good place to day out with family.
Lot of place to can stay freely and animals to watch"
Dehiwala Zoological Gardens,Colombo,4 years ago,"I had good experience with my family at weekend. It was so crowed day. The staff try there best to keep this clean.
But I couldn't see big development about the zoo. When I visited my childhood I …"
Dehiwala Zoological Gardens,Colombo,3 months ago,"sri lanka national zoological Garden at Dehiwala , wonderful place for studying about animals and entertainment for kids."
Dehiwala Zoological Gardens,Colombo,9 months ago,"Actually l, I do not like to trap wild animals into cages. As humans, they also need their freedom."
Dehiwala Zoological Gardens,Colombo,a year ago,We visited in the morning. It was Rs. 200 per adult. The entire garden is numbered so you wouldn't miss any places. They have covered many types of animals. Most aggressive ones were sleeping. I don't know if they were doped or just lazy …
Dehiwala Zoological Gardens,Colombo,7 months ago,Its a nice place to leisure with kids. But better to bring snaks and water in a bag. Nice child park is there. Some activities are there for kids with tickets. Lunch is available in the resturent. It has been upgarded to better level.
